Name,City,Address,Nosach,shacharit_prayer,mincha_prayer,Aravit_prayer,Shacharit_Shabat_prayer,Mincha_Shabat_prayer,Aravit_Shabat_prayer,Access_disabled,women,Bar_mitzvah,Code
" חב""ד", שדרות, חטיבת גבעתי 11,חבד,08:30,18:48,19:27,,,,TRUE,TRUE,TRUE,6
 חיים הכהן, אבטליון,[],עדות המזרח,,,,,,,FALSE,FALSE,TRUE,2
 חיני, אביאל,[],חסידי,,,,,,,FALSE,FALSE,FALSE,3
 בני איילו, אביבים, גני שמש 5,עדות המזרח,,,,,,,FALSE,FALSE,TRUE,2
 אביגדור, אביגדור,[],חבד,,,,,,,TRUE,TRUE,TRUE,6
 אביחיל, אביחיל,[],אחיד,09:45,,,09:00,,,TRUE,TRUE,TRUE,4
 אביטל, אביטל,[],לפי החזן,,,,,,,TRUE,TRUE,TRUE,2
 אביעזר, אביעזר,[],עדות המזרח,05:30,,,,,,FALSE,TRUE,TRUE,1
 בית יעקב, אבן יהודה, קיבוץ גלויות אבן,מרוקו,,,,08:00,,,TRUE,TRUE,FALSE,4
 בית מנחם-חב´´ד, אבן יהודה, המיסדים 41 אבן,חבד,06:00,18:46,19:21,09:00,18:13,,TRUE,TRUE,TRUE,4
 דרוקר, אבן יהודה, העצמאות אבן,ספרד,06:00,,,08:00,12:30,,TRUE,TRUE,TRUE,4
 המרכזי, אבן יהודה, המייסדים 68 אבן,ספרד,08:00,,20:40,,,,FALSE,FALSE,FALSE,4
 ותיקים, אבן יהודה, המעפילים 12 אבן,אחיד,,,,,,,TRUE,TRUE,TRUE,4
 נווה צדק, אבן יהודה, הנביאים 3 1 אבן,תימן שאמי,,,,,,,TRUE,TRUE,TRUE,4
 שם טוב, אבן יהודה, הבנים אבן,תימן,05:30,,,,,,TRUE,TRUE,TRUE,4
 שערי צדק, אבן יהודה, מרבד הקסמים 31 אבן,תימן,,,,,,,FALSE,FALSE,FALSE,4
 שערי תשובה, אבן יהודה, ההדרים אבן,לפי החזן,,,,08:00,,,TRUE,TRUE,TRUE,4
 תפארת אחים, אבן יהודה, הבנים אבן,תימן,07:30,,,,,,FALSE,FALSE,FALSE,4
 תפארת ישראל, אבן יהודה, הבנים 69 אבן,תימן,08:15,,,,,,TRUE,TRUE,TRUE,4
 אבן מנחם, אבן מנחם, אבן,עדות המזרח,06:00,19:20,19:50,,,,FALSE,FALSE,FALSE,2
" ""תורת-אבות"" ע""ש הרב שלום שבזי", אבן שמואל, אבן שמואל אבן,תימן,05:45,,,,,,TRUE,TRUE,FALSE,6
 משכנות יעקב, אבן שמואל, אבן,עדות המזרח,06:00,,,,,,TRUE,TRUE,TRUE,6
 אבני איתן, אבני איתן, אבני,לפי החזן,05:40,,,07:00,13:15,,TRUE,TRUE,FALSE,2
 אהל מנחם, אבני חפץ, מקלט בקצה רחוב לבונה אבני,לפי החזן,07:00,,,09:00,,,FALSE,FALSE,FALSE,7
 אשכנזי, אבני חפץ, אבני,ספרד,06:00,19:04,22:15,,,,TRUE,TRUE,TRUE,7
 התימני, אבני חפץ, אבני,תימן בלדי,05:30,,,07:15,,,FALSE,TRUE,FALSE,7
 מצפה חפץ , אבני חפץ, אבני,עדות המזרח,,,,,,,FALSE,TRUE,FALSE,7
 משכן שלמה, אבני חפץ, חרמון אבני,עדות המזרח,06:00,,,07:30,12:45,,TRUE,TRUE,FALSE,7
 ספרדי- מרכזי, אבני חפץ, אבני,עדות המזרח,06:01,18:42,19:22,07:45,15:00,,TRUE,TRUE,FALSE,7
 שלהבת יה, אבני חפץ, שכונת הקראוונים אבני,תימן שאמי,,,,06:06,,,FALSE,TRUE,FALSE,7
 תהילה לדוד, אבני חפץ, בית ספר אבני,מרוקו,,,,08:00,12:15,,FALSE,TRUE,FALSE,7
 אדירים, אדירים, מושב אדירים,עדות המזרח,,,,,,,FALSE,TRUE,FALSE,2
 , אדם, יסמין,ספרד,,,,,,,TRUE,TRUE,FALSE,7
 אהבת אדם, אדם, שדרות אדם 61,עדות המזרח,06:00,,,07:45,12:30,,FALSE,FALSE,FALSE,7
 האשכנזי, אדם, הרדוף הנחלים,ספרד,06:00,,20:30,08:00,,,TRUE,TRUE,TRUE,7
 הספרדי המרכזי, אדם, הרדוף הנחלים- ליד האשכנזי,ירושלמי,,,,,,,TRUE,TRUE,FALSE,7
 שמחת אליהו, אדם, סביון,עדות המזרח,07:00,19:00,20:30,,,,FALSE,TRUE,TRUE,7
 משכן מסעוד, אדרת, אדרת,מרוקו,05:30,16:30,17:30,,,,FALSE,FALSE,FALSE,1
 נופי אדרת, אדרת,[],לפי החזן,06:45,,,08:30,,,FALSE,TRUE,FALSE,1
 , אודים," ע""י מגדל המים",ספרד,,,,08:00,,,FALSE,TRUE,TRUE,4
 עץ חיים, אומן,[],ירושלמי,,,,,,,FALSE,FALSE,FALSE,2
 משכן ויזל, אומץ,[],תימן,,,,,,,TRUE,TRUE,FALSE,4
 אליהו הנביא, קרית אונו, לוס אנגלס 4 אונו קרית,יוצאי לוב,,06:19,,,,,FALSE,FALSE,FALSE,5
 בית הכנסת המרכזי, קרית אונו, וינגייט 22 אונו קרית,ספרד,05:45,,,,,,TRUE,TRUE,TRUE,5
" יד הרמב""ם", קרית אונו, לוס אנג´לס 28 אונו קרית,תימן בלדי,05:30,,,07:00,,,TRUE,TRUE,FALSE,5
 צעירי ישראל, קרית אונו, שלמה המלך 28 אונו קרית,אשכנז,06:30,,,,,,TRUE,TRUE,TRUE,5
 שיבת ציון, קרית אונו, רח´ שיבת ציון 6 אונו קרית,תימן בלדי,,,,07:00,,,TRUE,TRUE,FALSE,5
 אבות ובנים, אופקים, שכונת שפירא,ספרד,05:45,18:30,19:30,07:45,,,FALSE,TRUE,TRUE,6
 אהבת שלום, אופקים, אבו חצירא,עדות המזרח,06:00,16:00,17:30,,,,TRUE,TRUE,FALSE,6
 אוהל אברהם ושרה, אופקים, גיבורי ישראל 1008,עדות המזרח,07:30,13:15,20:10,,,,FALSE,TRUE,TRUE,6
 אוהל יעקב, אופקים, שרת,מרוקו,05:45,14:00,,,,,TRUE,TRUE,TRUE,6
 אוהל משה, אופקים, רבי עמרם בן דיוואן,עדות המזרח,06:15,18:32,19:22,,,,FALSE,TRUE,TRUE,6
 אחדות ישראל, אופקים, הנשיא,מרוקו,,,,,,,FALSE,TRUE,TRUE,6
 בימ מנחם, אופקים, מישור הגפן,עדות המזרח,05:40,16:45,17:45,,,,FALSE,TRUE,FALSE,6
 בית גבריאל, אופקים, חזון איש,אשכנז,,,,,,,FALSE,TRUE,FALSE,6
 בית יוסף, אופקים, אבו חצירא,עדות המזרח,05:00,15:00,18:00,,,,TRUE,TRUE,TRUE,6
 בית יעקב ואור ישראל, אופקים, הכרמל,מרוקו,,,,,,,FALSE,TRUE,FALSE,6
 גרבה גרבת, אופקים, גולומוב,תוניס,08:15,,,,,,FALSE,TRUE,TRUE,6
 התימנים, אופקים," צה""ל 3",תימן,,18:47,19:17,,,,TRUE,FALSE,FALSE,6
 זוהר ישראל, אופקים, החיד´´א,מרוקו,,,,,,,FALSE,FALSE,FALSE,6
 חבד, אופקים, מישור הגפן התמר 2,חבד,06:15,,,09:30,,,FALSE,TRUE,FALSE,6
 מבצע שלמה, אופקים, הכרמים 45,עדות המזרח,05:30,,,,,,FALSE,FALSE,FALSE,6
" ע""ש הרי""ף", אופקים, יגאל אלון 9,,,,,,,,TRUE,TRUE,FALSE,6
 עם רב, אופקים, הכרמים,,,,,,,,TRUE,TRUE,TRUE,6
 קוותי ה´, אופקים, רחבת הארי,אחיד,,,,,,,FALSE,TRUE,FALSE,6
 ר´ עקיבא לעולי פרס, אופקים, גן ציגל - ליד הישיבה אפיקי ארץ,עדות המזרח,,,,,,,TRUE,TRUE,FALSE,6
 רבי דוד ומשה, אופקים, קיבוץ גלויות,עדות המזרח,05:52,12:30,20:00,07:30,,,TRUE,TRUE,FALSE,6
 שארית יעקב, אופקים, שבזי,עדות המזרח,05:00,,,,,,TRUE,TRUE,TRUE,6
 שבזי, אופקים," צה""ל",תימן שאמי,05:30,,,07:00,,,TRUE,TRUE,FALSE,6
 שבטי ישראל, אופקים, אלי כהן,עדות המזרח,06:00,12:20,,,,,TRUE,TRUE,TRUE,6
 שערי חיים, אופקים, שבזי,ירושלמי,07:00,,,,,,TRUE,TRUE,FALSE,6
 תולדות יוסף, אופקים, חנניה 2,עדות המזרח,,18:30,,,,,TRUE,TRUE,TRUE,6
" ""משכן שמעיה""", אור יהודה, ברחוב יוסף קארו 3 אור,עדות המזרח,07:00,18:36,19:26,,,,TRUE,TRUE,TRUE,5
 אהבת חיים, אור יהודה, ז´ בוטיסקי 19 אור,ירושלמי,,,,,,,FALSE,FALSE,FALSE,5
 אוהל משה ומשכן יצחק, אור יהודה, יקותיאל אדם 33 אור,עדות המזרח,05:30,16:15,19:20,07:15,12:30,,TRUE,TRUE,TRUE,5
 אור התורה אבו יחזקאל, אור יהודה, הרב עובדיה יוסף 25 אור,ספרד,04:45,,,,,,FALSE,TRUE,TRUE,5
 אלי -כהן, אור יהודה," בן פורת (ההגנה), 51 אור",עדות המזרח,05:15,18:41,19:21,07:00,13:00,,TRUE,TRUE,TRUE,5
 בית הכנסת המרכזי לעולי בוכרה, אור יהודה, ז´בוטינסקי 32 אור,ספרד,,,,,,,TRUE,TRUE,TRUE,5
 בית יעקב, אור יהודה, אסירי ציון 9 אור,עדות המזרח,05:35,,,04:16,,,FALSE,TRUE,TRUE,5
 בן איש חי, אור יהודה, הרצל 56 אור,עדות המזרח,,,,07:00,,,TRUE,TRUE,TRUE,5
 גאולי ה´ עולי גרוזיה, אור יהודה, ז´בוטינסקי 16 אור,עדות המזרח,,,,,,,FALSE,FALSE,FALSE,5
