City,Code
 שדרות,6
 אבטליון,2
 אביאל,3
 אביבים,2
 אביגדור,6
 אביחיל,4
 אביטל,2
 אביעזר,1
 אבן יהודה,4
 אבן יהודה,4
 אבן יהודה,4
 אבן יהודה,4
 אבן יהודה,4
 אבן יהודה,4
 אבן יהודה,4
 אבן יהודה,4
 אבן יהודה,4
 אבן יהודה,4
 אבן יהודה,4
 אבן מנחם,2
 אבן שמואל,6
 אבן שמואל,6
 אבני איתן,2
 אבני חפץ,7
 אבני חפץ,7
 אבני חפץ,7
 אבני חפץ,7
 אבני חפץ,7
 אבני חפץ,7
 אבני חפץ,7
 אבני חפץ,7
 אדירים,2
 אדם,7
 אדם,7
 אדם,7
 אדם,7
 אדם,7
 אדרת,1
 אדרת,1
 אודים,4
 אומן,2
 אומץ,4
 קרית אונו,5
 קרית אונו,5
 קרית אונו,5
 קרית אונו,5
 קרית אונו,5
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אופקים,6
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 בת ים,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור יהודה,5
 אור עקיבא,3
 אור עקיבא,3
 אור עקיבא,3
 אור עקיבא,3
 רמת גן,5
 אור עקיבא,3
 אור עקיבא,3
 אור עקיבא,3
 אור עקיבא,3
 אור עקיבא,3
 אור עקיבא,3
 אור עקיבא,3
 אור עקיבא,3
 אור עקיבא,3
 אורנית,7
 אורנית,7
 אורנית,7
 אזור,5
 אזור,5
 אזור,5
 אזור,5
 אזור,5
 אזור,5
 אזור,5
 אזור,5
 אזור,5
 אזור,5
 אחיהוד,2
 אחיהוד,2
 אחיהוד,2
 אחיהוד,2
 אחיהוד,2
 אחיהוד,2
 אחיהוד,2
 אחיעזר,4
 אחיעזר,4
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 אילת,6
 איתמר,7
 איתמר,7
 איתן,6
 אלון שבות,7
 אלון מורה,7
 אלון מורה,7
 אלון מורה,7
 אלון מורה,7
 אלון מורה,7
 אלון מורה,7
 אלון מורה,7
 אלון מורה,7
 אלון שבות,7
 אלון שבות,7
 אלון שבות,7
